term_id	term_taxonomy_id	name	slug	description	parent	count
1404	1404	-ão	ao		0	2
521	521	.cat	cat		0	0
512	512	.GAL	gal		0	0
522	522	.gz	gz		0	0
2048	2048	' 18o Festival Internacional de guitarras EntreCuerdas'	18o-festival-internacional-de-guitarras-entrecuerdas		0	1
1816	1816	'A fronteira será escrita'	a-fronteira-sera-escrita		0	2
1679	1679	'A Galiza da Diáspora'	a-galiza-da-diaspora		0	0
1742	1742	'A imagem da Galiza em Portugal	a-imagem-da-galiza-em-portugal		0	0
2078	2078	'Ainda o Último dos Judeus e os outros'	ainda-o-ultimo-dos-judeus-e-os-outros		0	1
1923	1923	'Bom povo português'	bom-povo-portugues		0	1
1868	1868	'memória de pés sem sombra'	memoria-de-pes-sem-sombra		0	1
1734	1734	'O Desejo da minha alma'	o-desejo-da-minha-alma		0	2
1735	1735	'O Impossível'	o-impossivel		0	0
1780	1780	'O penálti de Djukić'	o-penalti-de-djukic		0	0
2085	2085	'Portugal em Contexto'	portugal-em-contexto		0	1
1708	1708	'Um novo acordar'	um-novo-acordar		0	0
1975	1975	'Vam por ti'	vam-por-ti		0	1
2060	2060	'Vidas Culpáveis'	vidas-culpaveis		0	2
2003	2003	‘A Esquerda ante o colapso da civilización industrial’	a-esquerda-ante-o-colapso-da-civilizacion-industrial		0	1
1930	1930	"Assim falava Burbur"	assim-falava-burbur		0	1
1796	1796	"Du bist die Ruh"	du-bist-die-ruh		0	1
1184	1184	(No) Meio (do) Oriente	no-meio-do-oriente		0	0
1277	1277	@emgalego	emgalego		0	4
1722	1722	#blackprotest	blackprotest		0	0
1723	1723	#czarnyponiedziałek	czarnyponiedzialek		0	0
1724	1724	#czarnyprotest	czarnyprotest		0	0
1725	1725	#nowomennokraj	nowomennokraj		0	0
2131	2131	#PrémioScórpio	premioscorpio		0	1
87	87	1 de abril	1-de-abril		0	4
712	712	1 de outubro	1-de-outubro		0	0
2143	2143	10 anos Pro-AGLP	10-anos-pro-aglp		0	1
